RPID SID Temperature Humidity Light SensedTime Prediction
1 1 30 35 50% 23:40:40 NoFire!
2 3 22 29 67% 23:40:40 NoFire!
1 1 10 84 3 00:41:02 FireDetected!
2 3 10 84 3 00:41:02 FireDetected!
1 1 10 64 3 00:49:43 FireDetected!
2 3 10 64 3 00:49:43 FireDetected!
1 1 7 75 3 00:53:42 FireDetected!
2 3 7 75 3 00:53:42 FireDetected!
1 1 11 75 3 00:57:32 FireDetected!
2 3 11 75 3 00:57:32 FireDetected!
1 1 8 55 3 00:59:32 FireDetected!
2 3 8 55 3 00:59:32 FireDetected!
1 1 7 67 3 01:00:10 FireDetected!
2 3 7 67 3 01:00:10 FireDetected!
1 1 8 76 3 01:01:36 FireDetected!
2 3 8 76 3 01:01:36 FireDetected!
1 1 8 77 3 01:04:26 FireDetected!
2 3 8 77 3 01:04:26 FireDetected!
1 1 10 75 3 01:06:26 FireDetected!
2 3 10 75 3 01:06:26 FireDetected!
1 1 9 72 3 01:11:02 NoFire!
2 3 9 72 3 01:11:02 NoFire!
1 1 9 52 3 01:12:23 PictureNotTaken!
2 3 9 52 3 01:12:23 PictureNotTaken!
1 1 10 61 3 01:16:43 NoFire!
2 3 10 61 3 01:16:43 NoFire!
1 1 9 60 3 01:18:30 PictureNotTaken!
2 3 9 60 3 01:18:30 PictureNotTaken!
1 1 8 53 3 01:20:02 PictureNotTaken!
2 3 8 53 3 01:20:02 PictureNotTaken!
1 1 8 67 3 01:20:32 FireDetected!
2 3 8 67 3 01:20:32 FireDetected!
1 1 10 76 3 01:48:43 FireDetected!
2 3 10 76 3 01:48:43 FireDetected!
1 1 7 53 3 03:01:08 PictureNotTaken!
2 3 7 53 3 03:01:08 PictureNotTaken!
1 1 8 62 3 03:05:24 FireDetected!
2 3 8 62 3 03:05:24 FireDetected!
1 1 10 67 3 03:09:33 FireDetected!
2 3 10 67 3 03:09:33 FireDetected!
1 1 6 52 3 03:14:12 PictureNotTaken!
2 3 6 52 3 03:14:12 PictureNotTaken!
1 1 7 67 3 03:15:17 FireDetected!
2 3 7 67 3 03:15:17 FireDetected!
1 1 6 70 3 03:22:59 NoFire!
2 3 6 70 3 03:22:59 NoFire!
